id;name_old_verbatim;name_old_clean;name_new;geo_long;geo_lat
192;De Grenelle Saint Honoré;Rue De Grenelle-saint-honoré;rue Jean-Jacques-Rousseau;2.34391;48.8642
193;De Harlay Du Palais;Rue De Harlay-du-palais;rue de Harlay;2.34307;48.8564
194;De Jarente;Rue De Jarente;rue de Jarente;2.36289;48.8557
195;De Jeannisson;Rue De Jeannisson;place André-Malraux;2.33528;48.8638
196;De Jérusalem;Rue De Jérusalem;;;
197;De Jouy;Rue De Jouy;rue de Jouy;2.35807;48.855
198;Du Havre;Place Du Havre;place du Havre;2.32667;48.8756
199;De La Rochefoucauld;Rue De La Rochefoucauld;rue de La Rochefoucauld;2.33495;48.8796
200;De Lancry;Rue De Lancry;rue de Lancry;2.36227;48.8717
201;De Lappe;Rue De Lappe;rue de Lappe;2.37297;48.8536
202;De Laval;Rue De Laval;rue Victor-Massé;2.33884;48.8807
203;De Lavoisier;Rue De Lavoisier;rue Lavoisier;2.32117;48.8738
204;De Lesdiguières;Rue De Lesdiguières;rue de Lesdiguières;2.36697;48.8531
205;De Lille;Rue De Lille;rue de Lille;2.32618;48.8596
206;Neuve Des Capucines;Rue Neuve-des-capucines;rue des Capucines;2.32911;48.8691
207;Des Capucines;Boulevard Des Capucines;boulevard des Capucines;2.3336111111111;48.871111111111
208;Jean Goujon;Rue Jean-goujon;rue Jean-Goujon;2.30605;48.8657
209;De Limoges;Rue De Limoges;rue Debelleyme;2.36325;48.8616
210;De Londres;Rue De Londres;rue de Londres;2.32773;48.8776
211;De Lourcine;Rue De Lourcine;rue Broca;2.34737;48.8377
212;De Louvois;Rue De Louvois;rue de Louvois;2.33712;48.8683
213;De Luxembourg;Rue De Luxembourg;rue Cambon;2.32704;48.8686
214;De Lyon;Rue De Lyon;rue de Lyon;2.37079;48.8493
215;De Malte;Rue De Malte;rue de Malte;2.36767;48.8659
216;De Marivaux;Rue De Marivaux;rue de Marivaux;2.33754;48.8711
217;De Marivaux Italiens;Rue De Marivaux-italiens;rue de Marivaux;2.33754;48.8711
219;De Mazagran;Rue De Mazagran;rue de Mazagran;2.35161;48.8706
220;De Ménilmontant;Rue De Ménilmontant;rue Oberkampf;2.37633;48.8654
221;De Montaigne;Avenue De Montaigne;avenue Montaigne;2.306111;48.866667
222;De Mezières;Rue De Mézières;rue de Mézières;2.33135;48.8503
223;De Milan;Rue De Milan;rue de Milan;2.32831;48.8788
225;De Montaigne;Rue De Montaigne;rue Jean-Mermoz;2.31172;48.8711
226;De Suresne;Rue De Suresne;rue de Suresne;2.32054;48.871
227;De Montfaucon;Rue De Montfaucon;rue de Montfaucon;2.33589;48.8527
228;De Montholon;Rue De Montholon;rue de Montholon;2.34507;48.8765
229;De Montmartre;Rue De Montmartre;rue Montmartre;2.3439;48.8676
230;De Montmorency;Rue De Montmorency;rue de Montmorency;2.355;48.863055555556
231;De Montpensier;Rue De Montpensier;rue de Montpensier;2.33697;48.8651
232;De Moscou;Rue De Moscou;rue de Moscou;2.32413;48.8809
233;De Mulhouse;Rue De Mulhouse;rue de Mulhouse;2.34702;48.8686
234;De Navarin;Rue De Navarin;rue de Navarin;2.33893;48.8796
235;De Paradis Au Marais;Rue De Paradis-au-marais;rue des Francs-Bourgeois;2.3622166666667;48.8571
236;De Paradis Poissonnière;Rue De Paradis-poissonnière;rue de Paradis;2.35147;48.87519
237;Carré Des Champs Elysées;Carré-des-champs-elysées;Avenue des Champs-Élysées;2.30786;48.86967
238;De Parme;Rue De Parme;rue de Parme;2.32776;48.8813
239;De Penthièvre;Rue De Penthièvre;rue de Penthièvre;2.31548;48.8728
240;De Poissy;Rue De Poissy;rue de Poissy;2.35259;48.8492
241;De Poitou;Rue De Poitou;rue de Poitou;2.36292;48.8615
242;Tronchet;Rue Tronchet;rue Tronchet;2.32606;48.8722
243;De Port Mahon;Rue De Port-mahon;rue de Port-Mahon;2.33401;48.8697
244;De Provence;Rue De Provence;rue de Provence;2.3362694444444;48.874172222222
245;Godot;Rue Godot;rue Godot-de-Mauroy;2.32718;48.8717
246;De Quincampoix;Rue De Quincampoix;rue Quincampoix;2.35042;48.8609
247;De Rambouillet;Rue De Rambouillet;rue de Rambouillet;2.3798;48.8436
248;De Reuilly;Rue De Reuilly;rue de Reuilly;2.38961;48.8448
249;De Richelieu;Rue De Richelieu;rue de Richelieu;2.3383722222222;48.868047222222
250;Tivoli;Rue Tivoli;rue d'Athènes;2.32865;48.878
251;De Rivoli;Rue De Rivoli;rue de Rivoli;2.3536722222222;48.856916666667
252;Bizet;Rue Bizet;rue Georges Bizet;2.29731;48.8675
253;De Rochechouart;Rue De Rochechouart;Rue Marguerite-de-Rochechouart;2.34616;48.8799
254;Fontaine Saint Georges;Rue Fontaine-saint-georges;rue Pierre-Fontaine;2.33404;48.8817
255;De Rumfort;Rue De Rumfort;boulevard Malesherbes;2.31387;48.87976
256;De Valois;Galerie De Valois;galerie de Valois;2.33797;48.8641
257;De Saint Quentin;Rue De Saint-quentin;rue de Saint-Quentin;2.35563;48.8784
258;De Valois;Rue De Valois;rue de Valois;2.33832;48.8642
259;Du Helder;Rue Du Helder;rue du Helder;2.33494;48.8719
260;De Saintonge;Rue De Saintonge;rue de Saintonge;2.36389;48.863
261;De Sartine;Rue De Sartine;;;
262;De Savoie;Rue De Savoie;rue de Savoie;2.34144;48.8543
263;De Seine;Rue De Seine;rue de Seine;2.33694444;48.85416667
264;Bergère;Rue Bergère;rue Bergère;2.34519;48.8724
265;Poissonnière;Boulevard Poissonière;boulevard Poissonnière;2.34538;48.8711
266;Blanche;Rue Blanche;rue Blanche;2.33142;48.8805
267;Des Italiens;Boulevard Des Italiens;boulevard des Italiens;2.33699722;48.87141944
268;Notre Dame De Lorette;Rue Notre-dame-de-lorette;rue Notre-Dame-de-Lorette;2.33639;48.8794
269;De Seine Saint Germain;Rue De Seine-saint-germain;rue de Seine;2.33694444;48.85416667
270;De Sèvres;Rue De Sèvres;rue de Sèvres;2.32097;48.8486
271;Palais Royal;Palais-royal;galerie de Valois;2.33797;48.8641
272;Saint Marc;Rue Saint-marc;rue Saint-Marc;2.34142;48.8703
273;Richer;Rue Richer;rue Richer;2.3454;48.8705
274;Laffitte;Rue Laffitte;rue Laffitte;2.3379638888889;48.873861111111
275;Du Temple;Rue Du Temple;rue du Temple;2.35657;48.8616
276;De Thorigny;Rue De Thorigny;rue de Thorigny;2.36293;48.8598
277;De Tournon;Rue De Tournon;rue de Tournon;2.33719;48.8504
278;De Tracy;Rue De Tracy;rue de Tracy;2.35325;48.868
279;De Trévise;Rue De Trévise;rue de Trévisse;2.34529;48.8738
280;Buffault;Rue Buffault;rue Buffault;2.34227;48.8761
281;De Valence;Rue De Valence;rue de Valence;2.34997;48.838
282;De Vannes;Rue De Vannes;;;
283;Geoffroy Marie;Rue Geoffroy-marie;rue Geoffroy-Marie;2.34405;48.8735
284;De Varennes;Rue De Varennes;rue Sauval;2.3425;48.8619
285;Vivienne;Rue Vivienne;rue Vivienne;2.33974;48.8684
286;De Varennes Saint Germain;Rue De Varennes-saint-germain;rue de Varenne;2.32205;48.8544
287;De Vaugirard;Rue De Vaugirard;rue de Vaugirard;2.3116666666667;48.842777777778
288;Olivier Saint Georges;Rue Olivier-saint-georges;rue de Châteaudun;2.3372222222222;48.876111111111
289;De Vendôme;Rue De Vendôme;rue Béranger;2.36375;48.8658
290;De Ventadour;Rue De Ventadour;rue de Ventadour;2.33438;48.8669
291;De Verneuil;Rue De Verneuil;rue de Verneuil;2.32876;48.8581
292;De Viarmes;Rue De Viarmes;rue de Viarmes;2.34228;48.8628
293;De Vienne;Rue De Vienne;rue de Vienne;2.32238;48.8777
294;De Vintimille;Rue De Vintimille;rue de Vintimille;2.3292;48.8824
295;Des Oiseaux;Rue Des Oiseaux;rue des Oiseaux;2.36163;48.863
296;Des Amandiers Popincourt;Rue Des Amandiers-popincourt;rue du Chemin-Vert;2.37639;48.8596
297;Des Amandiers Saint Jacques;Rue Des Amandiers-saint-jacques;rue Laplace;2.34748;48.8473
298;Des Beaux Arts;Rue Des Beaux-arts;rue des Beaux-Arts;2.33566;48.8564
299;Des Bernardins;Rue Des Bernardins;rue des Bernardins;2.3505;48.8498
300;Des Billettes;Rue Des Billettes;rue des Archives;2.3578;48.860865
301;Labruyère;Rue Labruyère;rue Labruyère;2.33327;48.8796
302;Des Blancs Manteaux;Rue Des Blancs-manteaux;rue des Blancs-Manteaux;2.35667;48.8592
303;Des Bons Enfants;Rue Des Bons-enfants;rue des Bons-Enfants;2.33863;48.8635
304;Sainte Anne;Rue Sainte-anne;rue Sainte-Anne;2.33599;48.8672
305;Des Boulets;Rue Des Boulets;rue Léon-Frot;2.38541;48.8568
306;Des Bourdonnais;Rue Des Bourdonnais;rue des Bourdonnais;2.34412;48.8591
307;Des Canettes;Rue Des Canettes;rue des Canettes;2.33361;48.8519
308;Des Carmes;Rue Des Carmes;rue des Carmes;2.34755;48.8491
309;Des Colonnes;Rue Des Colonnes;rue des Colonnes;2.33947;48.8693
310;Des Coutures Saint Gervais;Rue Des Coutures-saint-gervais;rue des Coutures-Saint-Gervais;2.36202;48.8603
311;Des Déchargeurs;Rue Des Déchargeurs;rue des Déchargeurs;2.34612;48.8598
312;Des Deux Ecus;Rue Des Deux-ecus;rue Berger;2.34605;48.8614
313;Des Deux Ponts;Rue Des Deux-ponts;rue des Deux-Ponts;2.35638;48.8517
314;Des Deux Portes Saint Sauveur;Rue Des Deux-portes-saint-sauveur;rue Dussoubs;2.34896;48.8659
315;Des Enfants Rouges;Rue Des Enfants-rouges;rue des Archives;2.3578;48.860865
316;Des Filles Du Calvaire;Rue Des Filles-du-calvaire;rue des Filles-du-Calvaire;2.36596;48.8627
317;Bleue;Rue Bleue;rue Bleue;2.34528;48.8758
318;Des Filles Saint Thomas;Rue Des Filles-saint-thomas;rue des Filles-Saint-Thomas;2.33906;48.8689
319;Jouffroy;Passage Jouffroy;passage Jouffroy;2.342141;48.872549
320;Des Fossés Du Temple;Rue Des Fossés-du-temple;rue Amelot;2.36795;48.8603
321;Des Fossés Montmartre;Rue Des Fossés-montmartre;rue d'Aboukir;2.34718;48.8678
322;Des Fossés Saint Bernard;Rue Des Fossés-saint-bernard;rue des Fossés-Saint-Bernard;2.35447;48.8482
323;Des Fossés Saint Marcel;Rue Des Fossés-saint-marcel;rue des Fossés-Saint-Marcel;2.3561;48.8389
324;Des Fourneaux;Rue Des Fourneaux;rue Falguière;2.31251;48.84
325;Des Fourreurs;Rue Des Fourreurs;rue des Halles;2.34672;48.8598
326;Des Francs Bourgeois Au Marais;Rue Des Francs-bourgeois-au-marais;rue des Francs-Bourgeois;2.3622166666667;48.8571
327;Des Frondeurs;Rue Des Frondeurs;avenue de l'Opéra;2.3338194444444;48.86715
328;Des Grands Augustins;Rue Des Grands-augustins;rue des Grands-Augustins;2.33944444;48.855
329;Des Gravilliers;Rue Des Gravilliers;rue des Gravilliers;2.35667;48.8638
330;Neuve Des Petits Champs;Rue Neuve-des-petits-champs;rue des Petits-Champs;2.33635;48.8669
331;Des Grès;Rue Des Grès;rue Cujas;2.34318;48.8475
332;Des Jeûneurs;Rue Des Jeûneurs;rue des Jeûneurs;2.345;48.869444444444
333;Des Juifs;Rue Des Juifs;rue Ferdinand-Duval;2.35956;48.8566
334;Des Lions Saint Paul;Rue Des Lions-saint-paul;rue des Lions-Saint-Paul;2.36226;48.8524
335;Des Lombards;Rue Des Lombards;rue des Lombards;2.3491666666667;48.859305555556
336;Des Lyonnais;Rue Des Lyonnais;rue des Lyonnais;2.34673;48.8383
337;Des Marais Du Temple;Rue Des Marais-du-temple;rue Albert-Thomas;2.36254;48.87
338;Des Marais Saint Germain;Rue Des Marais-saint-germain;rue Visconti;2.33556;48.8558
339;Des Marais Saint Martin;Rue Des Marais-saint-martin;rue Albert-Thomas;2.36254;48.87
340;Des Martyrs;Rue Des Martyrs;Rue des Martyrs;2.33972;48.88209
341;Ménars;Rue Ménars;rue Ménars;2.3384;48.8694
342;Bréda;Rue Bréda;rue Henry-Monnier;2.33739;48.8801
343;Des Moulins;Rue Des Moulins;rue des Moulins;2.33507;48.8668
344;Des Noyers;Rue Des Noyers;boulevard Saint-Germain;2.336306;48.852972
345;Des Orties Saint Honoré;Rue Des Orties-saint-honoré;;;
346;Des Petites Ecuries;Rue Des Petites-ecuries;rue des Petites-écuries;2.35115;48.8737
347;Montmartre;Boulevard Montmartre;boulevard Montmartre;2.341389;48.871667
348;Des Petits Carreaux;Rue Des Petits-carreaux;rue des Petits-Carreaux;2.34722;48.8667
349;Des Petits Pères;Rue Des Petits-pères;rue des Petits-Pères;2.34048;48.8662
350;Des Poulies;Rue Des Poulies;rue du Louvre;2.34245;48.8641
351;Saint Georges;Rue Saint-georges;rue Saint-Georges;2.3371;48.8763
352;Des Prêtres Saint Germain L'auxerrois;Rue Des Prêtres-saint-germain-l'auxerrois;rue des Prêtres-Saint-Germain-l'Auxerrois;2.34123;48.8593
353;Des Prouvaires;Rue Des Prouvaires;rue des Prouvaires;2.34419;48.8616
354;Des Pyramides;Rue Des Pyramides;rue des Pyramides;2.33307;48.8651
355;Des Quatre Fils;Rue Des Quatre-fils;rue des Quatre-Fils;2.35917;48.8607
356;Des Quatre Vents;Rue Des Quatre-vents;rue des Quatre-Vents;2.33773;48.8517
357;Des Récollets;Rue Des Récollets;rue des Récollets;2.36109;48.8746
358;Des Rosiers;Rue Des Rosiers;rue des Rosiers;2.35958219;48.8570917
359;Des Saints Pères;Rue Des Saints-pères;rue des Saints-Pères;2.33089;48.8553
360;Des Panoramas;Passage Des Panoramas;passage des Panoramas;2.3416666666667;48.871111111111
361;Gaillon;Rue Gaillon;rue Gaillon;2.33411;48.8684
362;Des Saussaies;Rue Des Saussaies;rue des Saussaies;2.3175;48.87125
363;Des Terres Fortes;Rue Des Terres-fortes;rue Lacuée;2.3699;48.8495
364;Des Tournelles;Rue Des Tournelles;rue des Tournelles;2.36725;48.8563
365;Des Trois Bornes;Rue Des Trois-bornes;rue des Trois-Bornes;2.37413;48.8671
366;Des Trois Pavillons;Rue Des Trois-pavillons;rue Elzévir;2.36156;48.8584
367;Des Vieilles Etuves Saint Honoré;Rue Des Vieilles-etuves-saint-honoré;rue Sauval;2.3425;48.8619
368;Des Vieilles Etuves Saint Martin;Rue Des Vieilles-etuves-saint-martin;place Georges-Pompidou;2.35166;48.8607
369;Des Vieilles Haudriettes;Rue Des Vieilles-haudriettes;rue des Haudriettes;2.35754;48.8616
370;Des Vieux Augustins;Rue Des Vieux-augustins;rue d'Argout;2.34289;48.8656
371;Saint Roch;Rue Saint-roch;rue Saint-Roch;2.33268;48.866
372;Cité Bergère;Cité Bergère;rue Bergère;2.34519;48.8724
373;Taitbout;Rue Taitbout;rue Taitbout;2.33523;48.8749
374;Des Vinaigriers;Rue Des Vinaigriers;rue des Vinaigriers;2.36083333;48.87316667
375;Des Vosges;Rue Des Vosges;rue de Birague;2.36504;48.8544
378;Du Bac;Rue Du Bac;rue du Bac;2.3263888888889;48.856388888889
